Date/Time,Energy Produced (Wh)
2017-02-25 00:00:00 -0800,145
2017-02-26 00:00:00 -0800,0
2017-02-27 00:00:00 -0800,0
2017-02-28 00:00:00 -0800,0
2017-03-01 00:00:00 -0800,0
2017-03-02 00:00:00 -0800,316
2017-03-03 00:00:00 -0800,2742
2017-03-04 00:00:00 -0800,8255
2017-03-05 00:00:00 -0800,3661
2017-03-06 00:00:00 -0800,6122
2017-03-07 00:00:00 -0800,1714
2017-03-08 00:00:00 -0800,5500
2017-03-09 00:00:00 -0800,1363
2017-03-10 00:00:00 -0800,4397
2017-03-11 00:00:00 -0800,1302
2017-03-12 00:00:00 -0800,2212
2017-03-13 00:00:00 -0700,1050
2017-03-14 00:00:00 -0700,4851
2017-03-15 00:00:00 -0700,6388
2017-03-16 00:00:00 -0700,6699
2017-03-17 00:00:00 -0700,2244
2017-03-18 00:00:00 -0700,9555
2017-03-19 00:00:00 -0700,12388
2017-03-20 00:00:00 -0700,6984
2017-03-21 00:00:00 -0700,2993
2017-03-22 00:00:00 -0700,4018
2017-03-23 00:00:00 -0700,2723
2017-03-24 00:00:00 -0700,4616
2017-03-25 00:00:00 -0700,7267
2017-03-26 00:00:00 -0700,1356
2017-03-27 00:00:00 -0700,7565
2017-03-28 00:00:00 -0700,3494
2017-03-29 00:00:00 -0700,3771
2017-03-30 00:00:00 -0700,13319
2017-03-31 00:00:00 -0700,3583
2017-04-01 00:00:00 -0700,4783
2017-04-02 00:00:00 -0700,10471
2017-04-03 00:00:00 -0700,13496
2017-04-04 00:00:00 -0700,3385
2017-04-05 00:00:00 -0700,6940
2017-04-06 00:00:00 -0700,6827
2017-04-07 00:00:00 -0700,1816
2017-04-08 00:00:00 -0700,4714
2017-04-09 00:00:00 -0700,6339
2017-04-10 00:00:00 -0700,4640
2017-04-11 00:00:00 -0700,12545
2017-04-12 00:00:00 -0700,1799
2017-04-13 00:00:00 -0700,3692
2017-04-14 00:00:00 -0700,9098
2017-04-15 00:00:00 -0700,7447
2017-04-16 00:00:00 -0700,9859
2017-04-17 00:00:00 -0700,3293
2017-04-18 00:00:00 -0700,7553
2017-04-19 00:00:00 -0700,5575
2017-04-20 00:00:00 -0700,5898
2017-04-21 00:00:00 -0700,14029
2017-04-22 00:00:00 -0700,3095
2017-04-23 00:00:00 -0700,6206
2017-04-24 00:00:00 -0700,10582
2017-04-25 00:00:00 -0700,7622
2017-04-26 00:00:00 -0700,10190
2017-04-27 00:00:00 -0700,8074
2017-04-28 00:00:00 -0700,14124
2017-04-29 00:00:00 -0700,2138
2017-04-30 00:00:00 -0700,9536
2017-05-01 00:00:00 -0700,4979
2017-05-02 00:00:00 -0700,7474
2017-05-03 00:00:00 -0700,1642
2017-05-04 00:00:00 -0700,12888
2017-05-05 00:00:00 -0700,10264
2017-05-06 00:00:00 -0700,10786
2017-05-07 00:00:00 -0700,14125
2017-05-08 00:00:00 -0700,6083
2017-05-09 00:00:00 -0700,9909
2017-05-10 00:00:00 -0700,7236
2017-05-11 00:00:00 -0700,4237
2017-05-12 00:00:00 -0700,6390
2017-05-13 00:00:00 -0700,8915
2017-05-14 00:00:00 -0700,8656
2017-05-15 00:00:00 -0700,3456
2017-05-16 00:00:00 -0700,11513
2017-05-17 00:00:00 -0700,9904
2017-05-18 00:00:00 -0700,9196
2017-05-19 00:00:00 -0700,7103
2017-05-20 00:00:00 -0700,14391
2017-05-21 00:00:00 -0700,11900
2017-05-22 00:00:00 -0700,13650
2017-05-23 00:00:00 -0700,13881
2017-05-24 00:00:00 -0700,14498
2017-05-25 00:00:00 -0700,14533
2017-05-26 00:00:00 -0700,14120
2017-05-27 00:00:00 -0700,13957
2017-05-28 00:00:00 -0700,13787
2017-05-29 00:00:00 -0700,13798
2017-05-30 00:00:00 -0700,2296
2017-05-31 00:00:00 -0700,6254
2017-06-01 00:00:00 -0700,7826
2017-06-02 00:00:00 -0700,10754
2017-06-03 00:00:00 -0700,11509
2017-06-04 00:00:00 -0700,11912
2017-06-05 00:00:00 -0700,14370
2017-06-06 00:00:00 -0700,13616
2017-06-07 00:00:00 -0700,11009
2017-06-08 00:00:00 -0700,3399
2017-06-09 00:00:00 -0700,12536
2017-06-10 00:00:00 -0700,12773
2017-06-11 00:00:00 -0700,14483
2017-06-12 00:00:00 -0700,14373
2017-06-13 00:00:00 -0700,5847
2017-06-14 00:00:00 -0700,6310
2017-06-15 00:00:00 -0700,1760
2017-06-16 00:00:00 -0700,8522
2017-06-17 00:00:00 -0700,6403
2017-06-18 00:00:00 -0700,1232
2017-06-19 00:00:00 -0700,7410
2017-06-20 00:00:00 -0700,13802
2017-06-21 00:00:00 -0700,14770
2017-06-22 00:00:00 -0700,14661
2017-06-23 00:00:00 -0700,14559
2017-06-24 00:00:00 -0700,13952
2017-06-25 00:00:00 -0700,12664
2017-06-26 00:00:00 -0700,13728
2017-06-27 00:00:00 -0700,14356
2017-06-28 00:00:00 -0700,14451
2017-06-29 00:00:00 -0700,13929
2017-06-30 00:00:00 -0700,13249
2017-07-01 00:00:00 -0700,13933
2017-07-02 00:00:00 -0700,13435
2017-07-03 00:00:00 -0700,14476
2017-07-04 00:00:00 -0700,14020
2017-07-05 00:00:00 -0700,13947
2017-07-06 00:00:00 -0700,13824
2017-07-07 00:00:00 -0700,13300
2017-07-08 00:00:00 -0700,12204
2017-07-09 00:00:00 -0700,9778
2017-07-10 00:00:00 -0700,9345
2017-07-11 00:00:00 -0700,13941
2017-07-12 00:00:00 -0700,9434
2017-07-13 00:00:00 -0700,9474
2017-07-14 00:00:00 -0700,13612
2017-07-15 00:00:00 -0700,7802
2017-07-16 00:00:00 -0700,12143
2017-07-17 00:00:00 -0700,13759
2017-07-18 00:00:00 -0700,13204
2017-07-19 00:00:00 -0700,11363
2017-07-20 00:00:00 -0700,8622
2017-07-21 00:00:00 -0700,4984
2017-07-22 00:00:00 -0700,6705
2017-07-23 00:00:00 -0700,13079
2017-07-24 00:00:00 -0700,13528
2017-07-25 00:00:00 -0700,13532
2017-07-26 00:00:00 -0700,12072
2017-07-27 00:00:00 -0700,13830
2017-07-28 00:00:00 -0700,13645
2017-07-29 00:00:00 -0700,13674
2017-07-30 00:00:00 -0700,13580
2017-07-31 00:00:00 -0700,13791
2017-08-01 00:00:00 -0700,10949
2017-08-02 00:00:00 -0700,11269
2017-08-03 00:00:00 -0700,12166
2017-08-04 00:00:00 -0700,8702
2017-08-05 00:00:00 -0700,8507
2017-08-06 00:00:00 -0700,10605
2017-08-07 00:00:00 -0700,10758
2017-08-08 00:00:00 -0700,10802
2017-08-09 00:00:00 -0700,10771
2017-08-10 00:00:00 -0700,11039
2017-08-11 00:00:00 -0700,10417
2017-08-12 00:00:00 -0700,9620
2017-08-13 00:00:00 -0700,7900
2017-08-14 00:00:00 -0700,10822
2017-08-15 00:00:00 -0700,12841
2017-08-16 00:00:00 -0700,11979
2017-08-17 00:00:00 -0700,13120
2017-08-18 00:00:00 -0700,8915
2017-08-19 00:00:00 -0700,0
2017-08-20 00:00:00 -0700,0
2017-08-21 00:00:00 -0700,0
2017-08-22 00:00:00 -0700,0
2017-08-23 00:00:00 -0700,972
2017-08-24 00:00:00 -0700,6126
2017-08-25 00:00:00 -0700,6231
2017-08-26 00:00:00 -0700,6409
2017-08-27 00:00:00 -0700,6478
2017-08-28 00:00:00 -0700,6427
2017-08-29 00:00:00 -0700,6391
2017-08-30 00:00:00 -0700,3636
2017-08-31 00:00:00 -0700,6330
2017-09-01 00:00:00 -0700,6360
2017-09-02 00:00:00 -0700,6239
2017-09-03 00:00:00 -0700,6278
2017-09-04 00:00:00 -0700,6210
2017-09-05 00:00:00 -0700,1125
2017-09-06 00:00:00 -0700,2791
2017-09-07 00:00:00 -0700,2443
2017-09-08 00:00:00 -0700,1160
2017-09-09 00:00:00 -0700,1405
2017-09-10 00:00:00 -0700,4738
2017-09-11 00:00:00 -0700,6410
2017-09-12 00:00:00 -0700,5270
2017-09-13 00:00:00 -0700,6305
2017-09-14 00:00:00 -0700,6487
2017-09-15 00:00:00 -0700,5768
2017-09-16 00:00:00 -0700,5390
2017-09-17 00:00:00 -0700,1428
2017-09-18 00:00:00 -0700,3693
2017-09-19 00:00:00 -0700,1871
2017-09-20 00:00:00 -0700,5922
2017-09-21 00:00:00 -0700,6082
2017-09-22 00:00:00 -0700,4978
2017-09-23 00:00:00 -0700,4632
2017-09-24 00:00:00 -0700,3969
2017-09-25 00:00:00 -0700,1003
2017-09-26 00:00:00 -0700,4160
2017-09-27 00:00:00 -0700,5924
2017-09-28 00:00:00 -0700,5801
2017-09-29 00:00:00 -0700,2047
2017-09-30 00:00:00 -0700,1414
2017-10-01 00:00:00 -0700,4790
2017-10-02 00:00:00 -0700,6024
2017-10-03 00:00:00 -0700,5893
2017-10-04 00:00:00 -0700,5747
2017-10-05 00:00:00 -0700,5769
2017-10-06 00:00:00 -0700,1079
2017-10-07 00:00:00 -0700,2296
2017-10-08 00:00:00 -0700,5712
2017-10-09 00:00:00 -0700,2363
2017-10-10 00:00:00 -0700,2267
2017-10-11 00:00:00 -0700,2932
2017-10-12 00:00:00 -0700,1607
2017-10-13 00:00:00 -0700,5748
2017-10-14 00:00:00 -0700,746
2017-10-15 00:00:00 -0700,4309
2017-10-16 00:00:00 -0700,1651
2017-10-17 00:00:00 -0700,4282
2017-10-18 00:00:00 -0700,148
2017-10-19 00:00:00 -0700,1682
2017-10-20 00:00:00 -0700,2004
2017-10-21 00:00:00 -0700,187
2017-10-22 00:00:00 -0700,3282
2017-10-23 00:00:00 -0700,656
2017-10-24 00:00:00 -0700,4958
2017-10-25 00:00:00 -0700,2698
2017-10-26 00:00:00 -0700,4862
2017-10-27 00:00:00 -0700,4765
2017-10-28 00:00:00 -0700,4676
2017-10-29 00:00:00 -0700,4192
2017-10-30 00:00:00 -0700,4801
2017-10-31 00:00:00 -0700,3533
2017-11-01 00:00:00 -0700,4434
2017-11-02 00:00:00 -0700,286
2017-11-03 00:00:00 -0700,4247
2017-11-04 00:00:00 -0700,110
2017-11-05 00:00:00 -0700,4431
2017-11-06 00:00:00 -0800,4581
2017-11-07 00:00:00 -0800,1071
2017-11-08 00:00:00 -0800,911
2017-11-09 00:00:00 -0800,423
2017-11-10 00:00:00 -0800,365
2017-11-11 00:00:00 -0800,271
2017-11-12 00:00:00 -0800,280
2017-11-13 00:00:00 -0800,491
2017-11-14 00:00:00 -0800,260
2017-11-15 00:00:00 -0800,419
2017-11-16 00:00:00 -0800,915
2017-11-17 00:00:00 -0800,2631
2017-11-18 00:00:00 -0800,1280
2017-11-19 00:00:00 -0800,166
2017-11-20 00:00:00 -0800,1992
2017-11-21 00:00:00 -0800,200
2017-11-22 00:00:00 -0800,476
2017-11-23 00:00:00 -0800,2924
2017-11-24 00:00:00 -0800,858
2017-11-25 00:00:00 -0800,359
2017-11-26 00:00:00 -0800,1422
2017-11-27 00:00:00 -0800,1431
2017-11-28 00:00:00 -0800,595
2017-11-29 00:00:00 -0800,687
2017-11-30 00:00:00 -0800,268
2017-12-01 00:00:00 -0800,159
2017-12-02 00:00:00 -0800,302
2017-12-03 00:00:00 -0800,2923
2017-12-04 00:00:00 -0800,1017
2017-12-05 00:00:00 -0800,774
2017-12-06 00:00:00 -0800,4203
2017-12-07 00:00:00 -0800,3660
2017-12-08 00:00:00 -0800,827
2017-12-09 00:00:00 -0800,3336
2017-12-10 00:00:00 -0800,1615
2017-12-11 00:00:00 -0800,3793
2017-12-12 00:00:00 -0800,2235
2017-12-13 00:00:00 -0800,2746
2017-12-14 00:00:00 -0800,2221
2017-12-15 00:00:00 -0800,1204
2017-12-16 00:00:00 -0800,521
2017-12-17 00:00:00 -0800,76
2017-12-18 00:00:00 -0800,720
2017-12-19 00:00:00 -0800,83
2017-12-20 00:00:00 -0800,3634
2017-12-21 00:00:00 -0800,335
2017-12-22 00:00:00 -0800,1120
2017-12-23 00:00:00 -0800,4242
2017-12-24 00:00:00 -0800,262
2017-12-25 00:00:00 -0800,607
2017-12-26 00:00:00 -0800,432
2017-12-27 00:00:00 -0800,102
2017-12-28 00:00:00 -0800,161
2017-12-29 00:00:00 -0800,59
2017-12-30 00:00:00 -0800,1312
2017-12-31 00:00:00 -0800,2473
2018-01-01 00:00:00 -0800,1783
2018-01-02 00:00:00 -0800,846
2018-01-03 00:00:00 -0800,3367
2018-01-04 00:00:00 -0800,418
2018-01-05 00:00:00 -0800,161
2018-01-06 00:00:00 -0800,539
2018-01-07 00:00:00 -0800,224
2018-01-08 00:00:00 -0800,154
2018-01-09 00:00:00 -0800,2127
2018-01-10 00:00:00 -0800,1344
2018-01-11 00:00:00 -0800,128
2018-01-12 00:00:00 -0800,288
2018-01-13 00:00:00 -0800,351
2018-01-14 00:00:00 -0800,1364
2018-01-15 00:00:00 -0800,2508
2018-01-16 00:00:00 -0800,1938
2018-01-17 00:00:00 -0800,196
2018-01-18 00:00:00 -0800,1478
2018-01-19 00:00:00 -0800,807
2018-01-20 00:00:00 -0800,1099
2018-01-21 00:00:00 -0800,4053
2018-01-22 00:00:00 -0800,6645
2018-01-23 00:00:00 -0800,387
2018-01-24 00:00:00 -0800,6742
2018-01-25 00:00:00 -0800,1248
2018-01-26 00:00:00 -0800,5746
2018-01-27 00:00:00 -0800,3999
2018-01-28 00:00:00 -0800,396
2018-01-29 00:00:00 -0800,1938
2018-01-30 00:00:00 -0800,5251
2018-01-31 00:00:00 -0800,1360
2018-02-01 00:00:00 -0800,760
2018-02-02 00:00:00 -0800,1440
2018-02-03 00:00:00 -0800,2563
2018-02-04 00:00:00 -0800,5474
2018-02-05 00:00:00 -0800,2174
2018-02-06 00:00:00 -0800,2071
2018-02-07 00:00:00 -0800,1272
2018-02-08 00:00:00 -0800,8579
2018-02-09 00:00:00 -0800,7167
2018-02-10 00:00:00 -0800,9043
2018-02-11 00:00:00 -0800,8270
Total,2031161
